file_number,substrain,noise_spl,noise_type,abr_time,id,experimenter_id,freq_hz,level_db,f1,f2,level_f1,level_f2,level_distprod
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,80.0,26656.0,32000.0,67.22110843658447,43.02090072631836,14.988182067871094
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,75.0,26656.0,32000.0,62.22004699707031,38.04692077636719,17.60146713256836
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,70.0,26656.0,32000.0,57.243927001953125,33.065391540527344,16.130088806152344
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,65.0,26656.0,32000.0,52.23898887634277,28.076618194580078,12.019012451171875
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,60.0,26656.0,32000.0,47.23601531982422,23.066768646240234,6.1431884765625
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,55.0,26656.0,32000.0,42.23967361450195,18.000598907470703,-0.8228530883789062
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,50.0,26656.0,32000.0,37.245609283447266,13.052879333496094,-7.432830810546875
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,45.0,26656.0,32000.0,32.242916107177734,8.09686279296875,-15.048393249511719
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,40.0,26656.0,32000.0,27.263572692871094,2.91107177734375,-20.348892211914062
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,35.0,26656.0,32000.0,22.258766174316406,-2.2083740234375,-24.191421508789062
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,30.0,26656.0,32000.0,17.265869140625,-7.28326416015625,-21.23241424560547
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,25.0,26656.0,32000.0,12.361717224121094,-13.492881774902344,-21.240570068359375
548,CaJ,100,baseline,baseline,C194_1,JF,32000.0,20.0,26656.0,32000.0,7.3092041015625,-16.597122192382812,-20.286026000976562
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,80.0,13328.0,16000.0,78.10104322433472,64.77072048187256,36.70579147338867
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,75.0,13328.0,16000.0,73.05429267883301,59.77602577209473,33.24650573730469
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,70.0,13328.0,16000.0,68.0545072555542,54.780967712402344,30.72100830078125
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,65.0,13328.0,16000.0,63.0610237121582,49.79431343078613,27.05739974975586
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,60.0,13328.0,16000.0,58.08491325378418,44.83081817626953,22.751514434814453
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,55.0,13328.0,16000.0,53.12080955505371,39.879173278808594,17.655838012695312
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,50.0,13328.0,16000.0,48.13902282714844,34.88650894165039,11.527534484863281
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,45.0,13328.0,16000.0,43.14893341064453,29.86838150024414,5.533058166503906
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,40.0,13328.0,16000.0,38.15336990356445,24.86203384399414,-1.6791534423828125
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,35.0,13328.0,16000.0,33.143436431884766,19.996265411376953,-9.139381408691406
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,30.0,13328.0,16000.0,28.12149429321289,14.921127319335938,-15.366424560546875
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,25.0,13328.0,16000.0,23.101669311523438,9.908660888671875,-19.163002014160156
546,CaJ,100,baseline,baseline,C194_1,JF,16000.0,20.0,13328.0,16000.0,17.909194946289062,4.565422058105469,-19.32648468017578
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,80.0,19992.0,24000.0,77.8718888759613,61.90456771850586,23.790969848632812
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,75.0,19992.0,24000.0,72.84257745742798,56.85647010803223,17.900985717773438
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,70.0,19992.0,24000.0,67.8521499633789,51.84955406188965,12.967994689941406
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,65.0,19992.0,24000.0,62.847307205200195,46.875003814697266,8.994132995605469
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,60.0,19992.0,24000.0,57.83433532714844,41.8893928527832,4.729743957519531
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,55.0,19992.0,24000.0,52.820505142211914,36.882896423339844,-0.5939712524414062
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,50.0,19992.0,24000.0,47.80351257324219,31.84896469116211,-6.5023193359375
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,45.0,19992.0,24000.0,42.79977798461914,26.848426818847656,-9.089408874511719
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,40.0,19992.0,24000.0,37.7816162109375,21.852222442626953,-19.0718994140625
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,35.0,19992.0,24000.0,32.772647857666016,16.837223052978516,-28.80731201171875
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,30.0,19992.0,24000.0,27.76293182373047,11.888580322265625,-26.032150268554688
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,25.0,19992.0,24000.0,22.818740844726562,6.921806335449219,-44.22815704345703
542,CaJ,100,baseline,baseline,C196_3,JF,24000.0,20.0,19992.0,24000.0,17.808311462402344,1.4770736694335938,-15.706932067871094
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,80.0,9996.0,12000.0,81.19485688209534,74.18740653991699,25.142593383789062
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,75.0,9996.0,12000.0,76.17844367027283,69.18476295471191,24.663570404052734
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,70.0,9996.0,12000.0,71.21779537200928,64.1895980834961,27.637062072753906
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,65.0,9996.0,12000.0,66.22421073913574,59.18626022338867,28.481922149658203
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,60.0,9996.0,12000.0,61.24320411682129,54.17514991760254,26.98366928100586
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,55.0,9996.0,12000.0,56.2642822265625,49.17165565490723,22.466217041015625
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,50.0,9996.0,12000.0,51.254220962524414,44.16954040527344,15.128211975097656
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,45.0,9996.0,12000.0,46.256561279296875,39.19565963745117,6.075309753417969
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,40.0,9996.0,12000.0,41.239463806152344,34.19057083129883,-6.309577941894531
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,35.0,9996.0,12000.0,36.185035705566406,29.19762420654297,-27.909889221191406
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,30.0,9996.0,12000.0,31.105998992919922,24.12060546875,-20.47734832763672
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,25.0,9996.0,12000.0,26.163150787353516,19.248703002929688,-16.689170837402344
540,CaJ,100,baseline,baseline,C196_3,JF,12000.0,20.0,9996.0,12000.0,20.995643615722656,14.435287475585938,-20.25653839111328
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,80.0,13328.0,16000.0,80.48482739925385,67.6075325012207,28.831241607666016
541,CaJ,100,baseline,baseline,C196_3,JF,16000.0,75.0,13328.0,16000.0,75.50590324401855,62.592838287353516,33.06315612792969
