file_number,substrain,id,noise_spl,analyzer_id,experimenter_id,noise_type,abr_time,level_db,freq_hz,wave1_amp,threshold,rlm,rlm_error,rlm_error_standardized,standardization_std,is_outlier,confint_low,confint_high
0,Sca,B50_4,100,CV,JF,baseline,baseline,15.0,24000,85.586,15.0,4.866176765575988,-0.41665504720614965,-1.375019083859342,0.3030176468799989,False,4.20568178808973,5.400084754150968
0,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,24000,90.95,15.0,5.08760122470723,-0.5772913197430984,-1.9051409239268413,0.3030176468799989,False,4.427106247220972,5.62150921328221
0,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,24000,153.82299999999998,15.0,5.309025683838472,-0.27322309308418813,-0.901673865853727,0.3030176468799989,False,4.648530706352214,5.842933672413452
0,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,24000,303.793,15.0,5.530450142969714,0.18589640545184505,0.613483760321932,0.3030176468799989,False,4.869955165483456,6.064358131544695
0,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,24000,535.229,15.0,5.751874602100957,0.53082009059636,1.751779462555775,0.3030176468799989,False,5.0913796246146985,6.285782590675937
0,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,24000,471.112,15.0,5.973299061232199,0.18179679644825786,0.5999544855559289,0.3030176468799989,False,5.312804083745941,6.507207049807179
0,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,24000,591.989,15.0,6.194723520363441,0.18876453326685283,0.6229489774290519,0.3030176468799989,False,5.534228542877183,6.728631508938421
0,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,24000,782.3520000000001,15.0,6.416147979494683,0.2461567876507038,0.8123513273409679,0.3030176468799989,False,5.755653002008425,6.950055968069663
0,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,24000,1073.047,15.0,6.637572438625925,0.3406851054685873,1.1243078050946171,0.3030176468799989,False,5.977077461139667,7.171480427200906
0,Sca,B50_4,100,CV,JF,baseline,baseline,60.0,24000,1325.879,15.0,6.858996897757168,0.3308340169395638,1.0917978551611576,0.3030176468799989,False,6.1985019202709095,7.392904886332148
0,Sca,B50_4,100,CV,JF,baseline,baseline,65.0,24000,1204.02,15.0,7.08042135688841,0.012999880138071518,0.04290139624514916,0.3030176468799989,False,6.419926379402152,7.61432934546339
0,Sca,B50_4,100,CV,JF,baseline,baseline,70.0,24000,1572.259,15.0,7.301845816019652,0.05842290166806663,0.1928036280052141,0.3030176468799989,False,6.641350838533394,7.835753804594632
0,Sca,B50_4,100,CV,JF,baseline,baseline,75.0,24000,1710.043,15.0,7.523270275150894,-0.07899647977151858,-0.26069927142825045,0.3030176468799989,False,6.862775297664636,8.057178263725874
0,Sca,B50_4,100,CV,JF,baseline,baseline,80.0,24000,1780.233,15.0,7.744694734282136,-0.2601952006861117,-0.8586800252895972,0.3030176468799989,False,7.084199756795878,8.278602722857116
0,Sca,B50_4,100,CV,JF,baseline,baseline,85.0,24000,2110.012,15.0,7.966119193413379,-0.31167027975564654,-1.0285548810926985,0.3030176468799989,False,7.3056242159271205,8.500027181988358
0,Sca,B50_4,100,CV,JF,baseline,baseline,90.0,24000,2929.911,15.0,8.18754365254462,-0.2048163264214713,-0.6759221072777412,0.3030176468799989,False,7.527048675058363,8.7214516411196
1,Sca,B50_4,100,CV,JF,baseline,baseline,10.0,12000,89.155,10.0,5.0365111052035685,-0.5461346772175588,-1.298969306667045,0.4204369375122929,False,4.120074427551767,5.777308355598392
1,Sca,B50_4,100,CV,JF,baseline,baseline,15.0,12000,133.061,10.0,5.197784787439111,-0.3069771177470262,-0.7301383164937801,0.4204369375122929,False,4.281348109787309,5.9385820378339345
1,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,12000,167.607,10.0,5.359058469674654,-0.2374365163890655,-0.5647375270925696,0.4204369375122929,False,4.442621792022852,6.099855720069478
1,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,12000,298.596,10.0,5.520332151910196,0.1787593372578815,0.4251751483007006,0.4204369375122929,False,4.603895474258394,6.26112940230502
1,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,12000,373.76,10.0,5.681605834145739,0.24200804605406834,0.5756108097590555,0.4204369375122929,False,4.765169156493938,6.422403084540563
1,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,12000,540.332,10.0,5.842879516381282,0.44930424907065536,1.0686602650308727,0.4204369375122929,False,4.92644283872948,6.583676766776105
1,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,12000,592.999,10.0,6.004153198616825,0.3810395140388376,0.9062940955983361,0.4204369375122929,False,5.087716520965023,6.7449504490116485
1,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,12000,732.2330000000001,10.0,6.165426880852367,0.43067188847126303,1.0243436055345896,0.4204369375122929,False,5.248990203200565,6.906224131247191
1,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,12000,828.5530000000001,10.0,6.326700563087909,0.3929802427646347,0.9346948559988134,0.4204369375122929,False,5.410263885436107,7.067497813482733
1,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,12000,799.761,10.0,6.487974245323453,0.19633868770980367,0.46698724634312855,0.4204369375122929,False,5.571537567671651,7.228771495718276
1,Sca,B50_4,100,CV,JF,baseline,baseline,60.0,12000,789.924,10.0,6.649247927558996,0.02268881074266549,0.05396483685975404,0.4204369375122929,False,5.7328112499071935,7.390045177953819
1,Sca,B50_4,100,CV,JF,baseline,baseline,65.0,12000,677.68,10.0,6.810521609794538,-0.2918464096712423,-0.6941502604364043,0.4204369375122929,False,5.894084932142736,7.551318860189362
1,Sca,B50_4,100,CV,JF,baseline,baseline,70.0,12000,637.6310000000001,10.0,6.97179529203008,-0.5140355459116392,-1.2226222295147644,0.4204369375122929,False,6.055358614378278,7.712592542424904
1,Sca,B50_4,100,CV,JF,baseline,baseline,75.0,12000,431.487,10.0,7.1330689742656235,-1.0658315916583225,-2.5350569765939257,0.4204369375122929,True,6.216632296613822,7.873866224660447
1,Sca,B50_4,100,CV,JF,baseline,baseline,80.0,12000,1096.791,10.0,7.294342656501166,-0.29419873397600593,-0.6997452120091233,0.4204369375122929,False,6.377905978849364,8.035139906895989
1,Sca,B50_4,100,CV,JF,baseline,baseline,85.0,12000,1903.858,10.0,7.455616338736709,0.09602129400145465,0.2283845338842217,0.4204369375122929,False,6.539179661084907,8.196413589131533
1,Sca,B50_4,100,CV,JF,baseline,baseline,90.0,12000,3071.281,10.0,7.616890020972251,0.4129599964222912,0.9822162602214677,0.4204369375122929,False,6.700453343320449,8.357687271367075
2,Sca,B50_4,100,CV,JF,baseline,baseline,10.0,16000,92.45,5.0,4.818939110182244,-0.2922711523491106,-1.3732031412131247,0.21283897740789495,False,4.3550087845438235,5.193954992881666
2,Sca,B50_4,100,CV,JF,baseline,baseline,15.0,16000,142.181,5.0,5.04257574088242,-0.08547484706779418,-0.4015939566557212,0.21283897740789495,False,4.578645415243999,5.417591623581842
2,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,16000,189.919,5.0,5.266212371582594,-0.019614706109993385,-0.092157490835914,0.21283897740789495,False,4.802282045944175,5.641228254282018
2,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,16000,160.309,5.0,5.489849002282769,-0.41274579951468393,-1.9392397226363187,0.21283897740789495,False,5.025918676644348,5.864864884982191
2,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,16000,338.327,5.0,5.713485632982945,0.11052725043780409,0.5192998565576845,0.21283897740789495,False,5.249555307344524,6.088501515682367
2,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,16000,461.822,5.0,5.937122263683119,0.19805727177339616,0.9305498183907809,0.21283897740789495,False,5.4731919380447,6.312138146382543
2,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,16000,563.376,5.0,6.160758894383294,0.173188361642584,0.8137060408379871,0.21283897740789495,False,5.696828568744873,6.535774777082716
2,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,16000,734.225,5.0,6.384395525083469,0.2144199960669475,1.0074282383720656,0.21283897740789495,False,5.920465199445049,6.759411407782892
2,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,16000,989.195,5.0,6.6080321557836434,0.2888593252612761,1.3571730553266663,0.21283897740789495,False,6.144101830145223,6.983048038483066
2,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,16000,1241.655,5.0,6.831668786483819,0.2925316596444345,1.3744271054441906,0.21283897740789495,False,6.367738460845398,7.206684669183241
2,Sca,B50_4,100,CV,JF,baseline,baseline,60.0,16000,1410.298,5.0,7.055305417183994,0.19625089137521012,0.9220627432310267,0.21283897740789495,False,6.591375091545574,7.430321299883417
2,Sca,B50_4,100,CV,JF,baseline,baseline,65.0,16000,1508.15,5.0,7.278942047884168,0.039696965232992376,0.18651172692356618,0.21283897740789495,False,6.815011722245748,7.653957930583591
2,Sca,B50_4,100,CV,JF,baseline,baseline,70.0,16000,1784.395,5.0,7.502578678584344,-0.015743977396478037,-0.07397130726814907,0.21283897740789495,False,7.038648352945923,7.877594561283766
2,Sca,B50_4,100,CV,JF,baseline,baseline,75.0,16000,1703.325,5.0,7.726215309284518,-0.2858778071347512,-1.3431647277034275,0.21283897740789495,False,7.262284983646097,8.10123119198394
2,Sca,B50_4,100,CV,JF,baseline,baseline,80.0,16000,2168.947,5.0,7.949851939984693,-0.2678548646799692,-1.2584859593956756,0.21283897740789495,False,7.485921614346273,8.324867822684116
2,Sca,B50_4,100,CV,JF,baseline,baseline,85.0,16000,3131.096,5.0,8.173488570684867,-0.12435018869787484,-0.5842453774787881,0.21283897740789495,False,7.709558245046447,8.54850445338429
2,Sca,B50_4,100,CV,JF,baseline,baseline,90.0,16000,4298.945,5.0,8.397125201385043,-0.03100027864354793,-0.14565132299117134,0.21283897740789495,False,7.933194875746622,8.772141084084465
3,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,32000,51.291,20.0,4.792873232154013,-0.8553579339649309,-2.5616918383528766,0.3339035246780156,True,4.065055551284334,5.3812012093346135
3,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,32000,83.152,20.0,4.958367320447387,-0.5376970621813006,-1.6103365865928008,0.3339035246780156,False,4.230549639577708,5.546695297627988
3,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,32000,146.42700000000002,20.0,5.123861408740762,-0.13733439798846891,-0.41129963548872683,0.3339035246780156,False,4.396043727871083,5.712189385921363
3,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,32000,300.696,20.0,5.289355497034136,0.41674429057722495,1.248097907858544,0.3339035246780156,False,4.561537816164457,5.877683474214737
3,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,32000,351.801,20.0,5.454849585327511,0.4082160894960678,1.2225569942387164,0.3339035246780156,False,4.727031904457832,6.043177562508112
3,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,32000,374.932,20.0,5.620343673620885,0.30640100257331504,0.9176333279763329,0.3339035246780156,False,4.892525992751207,6.208671650801486
3,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,32000,436.713,20.0,5.7858377619142605,0.2934384668541208,0.8788121273565009,0.3339035246780156,False,5.058020081044582,6.374165739094861
3,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,32000,383.116,20.0,5.951331850207635,-0.0029940348208095102,-0.008966766145091367,0.3339035246780156,False,5.223514169337956,6.539659827388236
3,Sca,B50_4,100,CV,JF,baseline,baseline,60.0,32000,393.525,20.0,6.116825938501009,-0.14168134026012336,-0.4243181930970846,0.3339035246780156,False,5.38900825763133,6.70515391568161
3,Sca,B50_4,100,CV,JF,baseline,baseline,65.0,32000,428.812,20.0,6.282320026794384,-0.22130143235473998,-0.6627705789213869,0.3339035246780156,False,5.554502345924705,6.870648003974985
3,Sca,B50_4,100,CV,JF,baseline,baseline,70.0,32000,663.8399999999999,20.0,6.447814115087759,0.050227041496798464,0.15042381342105504,0.3339035246780156,False,5.71999643421808,7.03614209226836
3,Sca,B50_4,100,CV,JF,baseline,baseline,75.0,32000,876.101,20.0,6.613308203381133,0.16217317771274598,0.485688726613863,0.3339035246780156,False,5.885490522511454,7.201636180561734
3,Sca,B50_4,100,CV,JF,baseline,baseline,80.0,32000,816.3,20.0,6.778802291674507,-0.07402035721719713,-0.22168186840368106,0.3339035246780156,False,6.050984610804829,7.367130268855108
3,Sca,B50_4,100,CV,JF,baseline,baseline,85.0,32000,958.813,20.0,6.9442963799678825,-0.07860031888463492,-0.23539829045060096,0.3339035246780156,False,6.216478699098204,7.532624357148483
3,Sca,B50_4,100,CV,JF,baseline,baseline,90.0,32000,1046.789,20.0,7.109790468261258,-0.15630780587599258,-0.4681226591624655,0.3339035246780156,False,6.381972787391579,7.6981184454418585
4,Sca,B50_4,100,CV,JF,baseline,baseline,20.0,8000,120.129,10.0,5.342325117431057,-0.5537589520477448,-1.4956178456832712,0.37025430904427376,False,4.535272742645654,5.994702084378243
4,Sca,B50_4,100,CV,JF,baseline,baseline,25.0,8000,171.55599999999998,10.0,5.47401893518329,-0.3291091912645685,-0.8888733587303497,0.37025430904427376,False,4.666966560397888,6.126395902130476
4,Sca,B50_4,100,CV,JF,baseline,baseline,30.0,8000,329.329,10.0,5.605712752935524,0.1913444981629313,0.5167920898931415,0.37025430904427376,False,4.798660378150122,6.25808971988271
4,Sca,B50_4,100,CV,JF,baseline,baseline,35.0,8000,389.931,10.0,5.7374065706877575,0.2285632297062774,0.6173141652186594,0.37025430904427376,False,4.930354195902355,6.389783537634944
4,Sca,B50_4,100,CV,JF,baseline,baseline,40.0,8000,306.002,10.0,5.869100388439991,-0.14550875056125712,-0.3929967781789075,0.37025430904427376,False,5.0620480136545885,6.5214773553871765
4,Sca,B50_4,100,CV,JF,baseline,baseline,45.0,8000,536.5699999999999,10.0,6.000794206192225,0.2844028226702555,0.7681283261884944,0.37025430904427376,False,5.193741831406823,6.653171173139411
4,Sca,B50_4,100,CV,JF,baseline,baseline,50.0,8000,724.624,10.0,6.132488023944458,0.45316487569033637,1.2239287014918938,0.37025430904427376,False,5.325435649159056,6.784864990891645
4,Sca,B50_4,100,CV,JF,baseline,baseline,55.0,8000,884.987,10.0,6.264181841696692,0.5213911139378125,1.4081972881927116,0.37025430904427376,False,5.457129466911289,6.916558808643877
